date,Barometric pressure,Battery,Humidity,Rain meter,Soil moisture,Temperature,Wind speed,day_length
2018-05-12 14:16:00,980.32,87.78,53.39,0.0,0.02,20.72,0.0,861
2018-05-12 14:26:00,980.12,87.35,49.71,0.0,0.07,22.52,0.0,861
2018-05-12 14:36:00,980.09,86.92,47.54,0.0,0.05,22.82,0.0,861
2018-05-12 14:46:00,979.94,86.49,47.36,0.0,0.05,22.82,0.0,861
2018-05-12 14:56:00,979.82,86.2,47.6,0.0,0.07,22.76,0.0,861
2018-05-12 15:06:00,979.71,85.77,47.88,0.0,0.02,22.7,0.0,861
2018-05-12 15:16:00,979.53,85.48,48.12,0.0,0.07,22.66,0.0,861
2018-05-12 15:26:00,979.51,85.2,48.34,0.0,0.02,22.63,0.0,861
2018-05-12 15:36:00,979.3,85.05,48.63,0.0,0.12,22.6,0.0,861
2018-05-12 15:46:00,979.11,84.77,48.89,0.0,0.0,22.58,0.0,861
2018-05-12 15:56:00,979.09,84.48,48.21,1.4,0.02,24.16,0.0,861
2018-05-12 16:06:00,981.24,84.17,44.83,0.56,0.1,26.37,0.0,861
2018-05-12 16:16:00,980.92,84.77,46.37,2.51,0.05,27.86,14.47,861
2018-05-12 16:26:00,980.11,85.48,46.81,3.07,23.51,28.08,9.65,861
2018-05-12 16:37:00,979.91,85.91,44.7,0.0,0.05,29.07,9.65,861
2018-05-12 16:46:00,979.69,86.04,46.95,0.0,0.0,27.52,13.99,861
2018-05-12 16:47:00,979.66,86.06,47.21,0.0,0.0,27.39,14.47,861
2018-05-12 16:56:00,979.8,86.34,49.47,0.0,0.07,26.23,14.47,861
2018-05-12 17:06:00,979.56,86.49,48.88,0.0,0.05,26.6,9.65,861
2018-05-12 17:16:00,979.61,86.63,50.54,0.0,0.0,25.83,7.24,861
2018-05-12 17:26:00,979.36,86.63,48.44,0.0,0.05,26.77,9.65,861
2018-05-12 17:36:00,979.27,86.63,46.74,0.0,0.03,27.89,4.82,861
2018-05-12 17:37:00,979.27,86.63,48.33,0.0,0.02,28.14,4.58,861
2018-05-12 17:46:00,979.24,86.63,43.01,0.0,0.05,30.37,2.41,861
2018-05-12 17:56:00,979.0,86.5,41.54,0.0,0.05,30.05,4.6,861
2018-05-12 17:57:00,978.97,86.49,47.12,0.0,0.05,29.98,4.82,861
2018-05-12 18:07:00,978.9,86.49,43.29,0.0,0.02,29.34,0.0,861
2018-05-12 18:16:00,978.93,86.49,44.72,0.0,0.0,27.8,7.24,861
2018-05-12 18:26:00,979.18,86.34,48.08,0.0,0.05,25.82,7.24,861
2018-05-12 18:37:00,979.22,86.34,49.71,0.0,0.02,25.33,2.41,861
2018-05-12 18:47:00,979.0,86.34,50.76,0.0,0.05,24.82,4.82,861
2018-05-12 18:56:00,979.32,86.49,50.69,0.0,0.02,24.72,2.41,861
2018-05-12 19:07:00,979.04,86.57,50.74,0.0,0.04,24.87,4.82,861
2018-05-12 19:16:00,978.82,86.63,49.52,0.0,0.05,25.51,4.82,861
2018-05-12 19:26:00,978.7,86.63,48.51,0.0,0.1,25.84,7.24,861
2018-05-12 19:37:00,978.77,86.34,47.76,0.0,0.07,26.05,2.41,861
2018-05-12 19:46:00,978.97,85.2,47.21,0.0,0.1,25.79,0.0,861
2018-05-12 19:57:00,978.94,84.17,47.95,0.0,0.0,25.27,2.41,861
2018-05-12 20:06:00,978.74,83.52,50.11,0.0,0.02,25.0,2.41,861
2018-05-12 20:17:00,978.66,82.7,47.85,0.0,0.02,25.65,0.0,861
2018-05-12 20:27:00,979.22,81.73,48.9,0.0,0.05,24.57,9.65,861
2018-05-12 20:36:00,979.85,81.4,52.49,0.0,0.12,23.07,2.41,861
2018-05-12 20:46:00,979.99,80.91,51.98,0.0,0.0,22.4,12.06,861
2018-05-12 20:56:00,980.33,80.59,48.95,0.0,0.07,21.7,4.82,861
2018-05-12 21:06:00,980.41,80.09,48.42,0.0,0.02,21.03,12.06,861
2018-05-12 21:16:00,980.65,79.61,48.77,0.0,0.0,20.19,16.88,861
2018-05-12 21:26:00,980.65,78.95,49.11,0.0,0.0,19.57,14.47,861
2018-05-12 21:36:00,980.96,78.3,49.68,0.0,0.1,18.95,4.82,861
2018-05-12 21:46:00,981.04,77.81,49.35,0.0,0.0,18.56,16.88,861
2018-05-12 21:56:00,981.07,77.16,49.09,0.0,0.0,18.14,9.65,861
2018-05-12 22:06:00,981.41,76.34,49.1,0.0,43.73,17.6,14.47,861
2018-05-12 22:16:00,981.78,75.61,50.25,0.0,43.57,17.13,14.47,861
2018-05-12 22:17:00,981.82,75.54,50.77,0.0,43.55,17.1,13.99,861
2018-05-12 22:26:00,982.12,74.88,51.3,0.0,43.41,16.84,9.65,861
2018-05-12 22:36:00,982.23,74.22,52.79,0.0,0.1,16.42,9.65,861
2018-05-12 22:46:00,982.35,73.73,54.04,0.0,0.12,16.1,7.24,861
2018-05-12 22:56:00,982.55,73.23,53.52,0.0,0.07,16.04,9.65,861
2018-05-12 23:07:00,982.57,72.33,54.35,0.0,24.0,15.59,28.94,861
2018-05-12 23:16:00,982.93,71.59,59.45,0.0,43.58,14.42,9.65,861
2018-05-12 23:26:00,982.81,70.94,61.55,0.28,43.9,13.77,7.24,861
2018-05-12 23:36:00,982.63,69.95,62.17,0.0,45.12,13.51,19.3,861
2018-05-12 23:46:00,982.85,69.13,60.62,0.0,46.44,13.69,16.88,861
2018-05-12 23:56:00,983.04,68.48,58.58,0.0,47.34,13.97,14.47,861
2018-05-13 00:06:00,983.28,68.02,56.64,0.0,47.85,14.13,7.24,863
2018-05-13 00:16:00,983.57,67.59,55.43,0.0,48.39,14.28,4.82,863
2018-05-13 00:26:00,983.74,67.73,54.36,0.0,48.88,14.29,4.82,863
2018-05-13 00:36:00,984.01,67.59,52.64,0.0,49.56,14.15,7.24,863
2018-05-13 00:46:00,983.95,67.59,50.08,0.0,50.02,14.13,4.82,863
2018-05-13 00:56:00,983.97,67.3,49.9,0.0,50.44,14.18,9.65,863
2018-05-13 01:06:00,984.23,67.01,47.68,0.0,50.9,14.03,4.82,863
2018-05-13 01:16:00,984.4,64.41,46.61,0.0,51.39,13.84,4.82,863
2018-05-13 01:26:00,984.41,64.41,45.96,0.0,51.71,13.64,9.65,863
2018-05-13 01:36:00,984.4,64.7,45.36,0.0,52.03,13.4,14.47,863
2018-05-13 01:46:00,984.51,62.53,44.35,0.0,53.03,13.3,19.3,863
2018-05-13 01:56:00,984.72,61.81,44.58,0.0,53.39,13.33,2.41,863
2018-05-13 02:06:00,984.77,62.53,44.04,0.0,53.39,13.35,4.82,863
2018-05-13 02:16:00,984.76,63.11,43.51,0.0,53.64,13.37,14.47,863
2018-05-13 02:26:00,984.46,63.98,42.57,0.0,53.76,13.39,2.41,863
2018-05-13 02:36:00,984.4,64.34,42.42,0.0,53.76,13.16,19.3,863
2018-05-13 02:46:00,984.04,64.7,42.67,0.0,53.76,12.97,4.82,863
2018-05-13 02:56:00,984.2,64.7,42.78,0.0,53.78,12.88,2.41,863
