date,Barometric pressure,Battery,Humidity,Rain meter,Soil moisture,Temperature,Wind speed,day_length
2018-05-10 14:28:00,1006.35,91.65,36.34,0.0,0.05,29.31,0.0,857
2018-05-10 14:38:00,1006.2,91.65,35.24,0.0,57.61,28.29,0.0,857
2018-05-10 14:40:00,1006.31,91.65,51.07,0.0,49.04,28.04,0.0,857
2018-05-10 14:41:00,1006.36,91.65,36.98,0.0,0.1,28.2,0.0,857
2018-05-10 14:46:00,1006.33,90.54,35.7,0.0,74.54,28.99,0.0,857
2018-05-10 14:57:00,1006.2,88.96,34.12,0.0,0.0,27.71,0.0,857
2018-05-10 15:05:00,1006.26,87.93,36.78,0.28,76.2,26.78,0.0,857
2018-05-10 15:06:00,1006.18,87.93,37.4,0.0,63.01,26.71,0.0,857
2018-05-10 15:11:00,1006.19,87.49,36.7,0.0,80.27,27.22,0.0,857
2018-05-10 15:12:00,1006.15,87.42,36.19,0.0,78.94,27.28,0.0,857
2018-05-10 15:13:00,1006.15,87.39,52.05,0.0,51.4,27.35,0.0,857
2018-05-10 15:14:00,1006.16,87.35,37.49,0.0,84.47,27.47,0.0,857
2018-05-10 15:24:00,1006.17,86.78,35.78,0.0,78.56,26.71,0.0,857
2018-05-10 15:34:00,1006.0,86.34,35.82,0.0,61.49,26.25,0.0,857
2018-05-10 15:40:00,1006.07,86.24,40.33,0.0,39.12,26.35,0.0,857
2018-05-10 15:50:00,1006.18,86.06,35.26,0.56,60.94,26.24,0.0,857
2018-05-10 16:00:00,1006.18,85.91,35.64,0.0,80.62,26.09,0.0,857
2018-05-10 16:10:00,1006.22,85.77,36.16,0.0,76.73,26.69,0.0,857
2018-05-10 16:20:00,1006.22,85.77,35.67,0.0,83.98,27.57,0.0,857
2018-05-10 16:30:00,1006.18,85.63,34.74,0.0,79.93,28.1,0.0,857
2018-05-10 16:40:00,1006.3,85.63,33.76,0.0,78.59,28.39,0.0,857
2018-05-10 16:50:00,1006.27,85.63,33.02,0.0,54.7,28.54,0.0,857
2018-05-10 17:00:00,1006.24,90.22,39.18,0.0,71.83,28.45,0.0,857
2018-05-10 17:11:00,1006.2,90.54,37.18,0.56,56.62,28.79,0.0,857
2018-05-10 17:21:00,1006.28,90.54,33.31,1.12,0.02,30.84,0.0,857
2018-05-10 17:31:00,1002.42,90.54,30.96,0.0,0.0,31.38,0.0,857
2018-05-10 17:41:00,983.97,90.38,31.01,0.0,0.02,30.65,0.0,857
2018-05-10 17:51:00,976.08,90.22,30.68,0.0,0.02,31.4,0.0,857
2018-05-10 18:01:00,976.12,89.91,30.18,0.0,0.02,32.19,0.0,857
2018-05-10 18:11:00,976.16,89.75,29.69,0.0,0.02,32.84,0.0,857
2018-05-10 18:21:00,976.12,89.43,29.29,0.0,13.99,33.25,0.0,857
2018-05-10 18:31:00,976.09,89.12,29.0,0.0,0.07,33.66,0.0,857
2018-05-10 18:41:00,983.92,88.8,28.78,0.0,0.05,33.8,0.0,857
2018-05-10 18:51:00,988.7,88.8,34.7,0.0,31.48,26.99,7.24,857
2018-05-10 19:01:00,988.02,88.8,39.78,0.0,40.08,24.82,9.65,857
2018-05-10 19:11:00,987.93,88.8,41.69,0.0,43.78,23.88,7.24,857
2018-05-10 19:21:00,988.03,88.8,44.42,0.0,48.38,23.15,9.65,857
2018-05-10 19:31:00,988.41,88.5,44.95,0.0,50.96,22.36,7.24,857
2018-05-10 19:41:00,988.64,88.5,44.51,0.0,51.06,22.22,9.65,857
2018-05-10 19:51:00,988.76,88.5,46.03,0.0,53.12,22.17,4.82,857
2018-05-10 20:01:00,988.72,88.36,47.58,0.0,55.22,21.95,7.24,857
